Operator_Name,Facility_Name,Physical_Facility_Address,State,Truck,Chemical_Products,Petroleum_Products,Liquified_Gasses_Products,NGL,Biofuel,Vegetable_Oil,Waste,Liquid_Type_Detail,Capacity_Gallons,Lat,Lng
RSI Logistics,,"3125 S Andrews Ave, Fort Lauderdale, FL 33316",FL,Y,Y,Y,,,,,,,,26.0924838,-80.1403996
Targa,Targa Baltimore Terminal,"1955 Chesapeake Avenue, Baltimore MD 21226",MD,Y,,,,,,,,,,39.2392631,-76.5721229
Savage Service Corp,,"8636 Sorensen Ave, Santa Fe Springs, CA 90670",CA,Y,Y,Y,,,,,,,,33.9632994,-118.0603851
Thatcher Company Inc,,"1905 W Fortune Rd, Salt Lake City, UT 84104",UT,Y,Y,,,,,,,,,40.741703,-111.944178
Colonial Terminals,,"101 N Lathrop Ave, Savannah, GA 31415",GA,Y,,,,,,,,,,32.0906882,-81.1306809
AIP Logistics,,"711 Gibbs Ave, Wapakoneta, OH 45895",OH,Y,Y,Y,,,,,,,,40.5637103,-84.1897146
Bulkmatic Tranport CO,,"1500 Northeast Pkwy, Fort Worth, TX 76106",TX,Y,Y,Y,,,,,,,,32.8376718,-97.3366046
Trans Montaigne,,"3425 Talleyrand Ave, Jacksonville, FL 32206",FL,Y,,,,,,,,,,30.3594683,-81.6267091
Associated Asphalt Bristol,,"140 Spurgeon Lane, Bristol VA 24201",VA,Y,,,,,,,,,,36.6087355,-82.1961039
Marathon Petroleum Corporation,,"1100 Glass House Road, Clairton, PA 15025",PA,Y,,,,,,,,,,40.258142,-79.9142106
Transflo CSXT,,"Chattanooga, TN 37408",TN,Y,Y,Y,,,,,,,,35.0457219,-85.3094883
Transflo CSXT,,"2300 W Laburnum Ave, Richmond, VA 23227",VA,Y,Y,Y,,,,,,,,37.5840069,-77.4708596
Transflo CSXT,,"1205 Centerville Rd, Wilmington, DE 19808",DE,Y,Y,Y,,,,,,,,39.7313693,-75.616016
RJ Corman,,"133 Buchanan St, Lexington, KY 40508",KY,Y,Y,Y,,,,,,,,38.054854,-84.5097541
Transflo CSXT,,"3796 Warrington St, Jacksonville, FL 32254",FL,Y,Y,Y,,,,,,,,30.3267405,-81.719049
Burlington Junction,,"1625 27th St S W, Le Mars, IA 51031",IA,Y,Y,Y,,,,,,,,42.0145576,-95.3346257
Carload Connection,,"1303 S 21st St, Centerville, IA 52544",IA,Y,Y,Y,,,,,,,,40.7219902,-92.863843
"Magellan Midstream Partners, L.P.",,"3449 Pasadena Fwy, Pasadena, TX 77503",TX,Y,Y,Y,,,,,,Gasoline|Ethanol|Diesel|Jet Fuel|blending stocks,231000000,29.7124766,-95.1681631
Hunt Refining,,"500 Market St NW, Decatur, AL 35601",AL,Y,,,,,,,,,,34.619049,-86.987495
Central Ferry,,"393 Central Ferry Rd, Pomeroy, WA 99347",WA,Y,,,,,,,,,,46.224876,-118.987125
Shell,,"5317 Bayou Black Dr, Gibson, LA 70356",LA,Y,,,,,,,,,,29.6316762,-90.9363524
Marathon Dock,,"Reserve, LA 70084",LA,Y,,,,,,,,,,30.0823981,-90.5585162
Marathon,,"48237 Kenai Spur Hwy, Kenai, AK 99611",AK,Y,,,,,,,,,,60.5547458,-151.2526148
Shelly Liquid,Cleveland Terminal,"101 Mahoning Avenue, Cleveland OH 44113",OH,Y,,,,,,,,,,41.4855605,-81.6799565
Norfolk Southern TBT,,"1875 Frebis Ave, Columbus, OH 43207",OH,Y,Y,Y,,,,,,,,39.933626,-82.945915
Norfolk Southern TBT (RSI Logistics),,"1301 E Washington St, Petersburg, VA 23803",VA,Y,Y,Y,,,,,,,,37.2371419,-77.3808248
Associated Asphalt Martinsburg,,"855 Corning Way, Martinsburg WV 25405",WV,Y,,,,,,,,,,39.3900517,-78.0202886
Associated Asphalt Salisbury,,"1825 Jake Alexander Blvd W, Salisbury NC 28147",NC,Y,,,,,,,,,,35.6854684,-80.5085304
IMTT - Gretna,,"1145 4th St, Harvey, LA 70058",LA,Y,,,,,,,,,,29.9271191,-90.0818352
Stolt-Nielsen,,"2444 English Turn Rd, Braithwaite, LA 70040",LA,Y,Y,Y,,,,Y,,Specialty chemicals|petroleum products|Vegetable and Tropical Oils,101062000,29.8689091,-89.9694113
ABC Gulf Coast Terminal,,"Brownsville, TX 78521",TX,Y,,,,,,,,,,25.9024289,-97.4981698
,,"2081 Harbor Front Rd, Greenville, MS 38701",MS,Y,,,,,,,,,,33.3787,-91.0468
Warex Terminals Corporation,,"1184 River Rd, New Windsor, NY 12553",NY,Y,,,,,,,,,,41.4815127,-74.0130974
Irving Oil,,50 Preble Way Portsmouth NH 03801,NH,Y,,,,,,,,,,43.0917488,-70.770454
Global,,"1203 River Road, New Windsor, NY 12553",NY,Y,,,,,,,,,,41.4876549,-74.0095885
